gene	wt	wt_1	wt_2	ko	ko_1	ko_2
Tslp	0	0	2	0	0	0
Tsn	9980	7044	40534	6612	9056	7625
Tsnax	7640	5208	31016	5025	7071	6220
Tsnaxip1	9	6	19	2	7	3
Tspan1	2	2	10	1	0	0
Tspan10	1	0	3	0	1	1
Tspan11	0	0	0	0	0	0
Tspan12	0	0	1	0	0	0
Tspan13	3373	2412	13136	2228	3403	2620
Tspan14	2836	2024	12106	1771	3082	2168
Tspan15	2	1	11	3	1	3
Tspan17	19	12	38	15	21	27
Tspan18	1	2	11	3	0	2
Tspan2	246	123	993	145	133	80
Tspan2os	2	0	5	1	0	0
Tspan3	3464	2318	14728	1890	3599	2685
Tspan31	2134	1510	8492	1388	1632	1471
Tspan32	2011	1334	8606	1261	2609	1763
Tspan33	48	38	124	41	46	91
Tspan4	736	590	3200	486	468	590
Tspan5	1857	1449	8359	1212	1550	1463
Tspan6	218	137	932	174	161	187
Tspan7	0	0	2	0	0	0
Tspan8	0	0	0	0	0	0
Tspan9	916	627	5488	536	290	334
Tspear	27	21	103	14	24	26
Tspo	1764	1257	7416	1117	2105	1874
Tspo2	4	1	7	1	12	12
Tspy-ps	0	0	0	0	0	0
Tspyl1	3169	2145	13802	2239	3417	2603
Tspyl2	1737	1154	6568	1148	1672	1360
Tspyl3	1797	1197	7723	1088	1877	1378
Tspyl4	232	147	1032	171	296	205
Tspyl5	0	0	1	0	4	0
Tsr1	9410	6634	36619	6114	7651	7009
Tsr2	3631	2716	14266	2403	3094	2630
Tsr3	1460	1051	5886	874	1346	1119
Tssc1	1949	1311	7555	1187	1728	1431
Tssc4	3491	2458	13787	2166	2996	2618
Tssk1	6	7	15	2	5	3
Tssk2	3	3	10	5	5	4
Tssk3	1	1	5	3	2	1
Tssk4	42	27	137	26	40	15
Tssk5	0	2	19	2	5	4
Tssk6	160	81	576	68	91	79
Tst	135	124	567	108	131	99
Tsta3	3516	2433	14130	2249	3177	2681
Tstd1	68	49	282	38	60	40
Tstd2	2326	1707	9859	1464	1871	1707
Tstd3	508	367	1906	333	401	331
Tsx	10	6	18	0	10	2
Ttbk1	57	30	201	30	148	99
Ttbk2	467	379	2096	355	409	385
Ttc1	2747	2012	11134	1937	2621	2144
Ttc12	5	5	37	3	3	5
Ttc13	3649	2697	15666	2471	3295	2674
Ttc14	4519	3184	19760	3115	4622	3574
Ttc16	56	35	262	22	61	45
Ttc17	1559	1047	6795	1024	1606	1216
Ttc19	1056	737	4513	708	990	842
Ttc21a	16	16	81	10	10	10
Ttc21b	851	547	3293	598	742	643
Ttc22	0	0	0	0	0	0
Ttc23	74	78	331	62	79	61
Ttc23l	0	1	1	0	0	0
Ttc24	0	0	1	0	0	0
Ttc25	3	6	17	4	2	7
Ttc26	66	50	229	47	32	32
Ttc27	6963	4936	28776	4490	5872	4590
Ttc28	525	398	2443	424	347	282
Ttc29	0	0	0	0	0	0
Ttc3	5020	3600	21069	3468	4255	3403
Ttc30a1	554	391	2282	458	519	408
Ttc30a2	3	3	19	3	7	10
Ttc30b	40	26	166	23	43	29
Ttc32	587	380	2309	385	453	408
Ttc33	1126	836	4828	788	1208	904
Ttc34	18	14	59	3	11	7
Ttc36	5	3	36	16	8	4
Ttc37	3608	2726	15103	2551	2986	2747
Ttc38	508	376	2367	332	641	415
Ttc39a	2	1	2	0	3	1
Ttc39aos1	1	0	0	0	1	0
Ttc39b	7823	5739	29932	5099	7432	6585
Ttc39c	209	183	861	119	458	745
Ttc39d	1	0	2	1	2	3
Ttc4	3302	2312	13459	2256	3145	2438
Ttc41	84	64	455	63	93	75
Ttc5	2450	1782	10569	1673	2571	1944
Ttc7	4132	3058	18519	2534	3622	3081
Ttc7b	2771	2067	12674	1826	2087	2038
Ttc8	167	124	616	116	112	79
Ttc9	1	0	0	0	3	0
Ttc9b	0	0	1	0	0	0
Ttc9c	2966	2070	12204	1996	2540	2014
Ttf1	2189	1607	9251	1435	2038	1657
Ttf2	4923	3576	21104	3173	3340	3334
Tti1	5030	3387	20922	3165	3789	3303
Tti2	1858	1340	7792	1274	1729	1496
Ttk	1482	1001	6657	983	1016	1049
Ttl	1095	777	4302	686	870	818
Ttll1	321	198	1109	197	224	190
Ttll10	8	12	38	10	19	17
Ttll11	121	91	483	80	96	90
Ttll12	6683	4849	27366	4159	4976	4603
Ttll13	6	1	23	3	5	3
Ttll2	0	0	3	2	0	0
Ttll3	531	311	2420	341	568	323
Ttll4	4608	3467	19168	3056	3556	3362
Ttll5	1181	841	5151	758	868	793
Ttll6	0	0	0	0	2	0
Ttll7	1	0	1	0	2	0
Ttll8	0	0	0	0	0	0
Ttll9	13	5	85	9	12	12
Ttn	96	51	248	36	102	80
Ttpa	1	0	4	0	0	2
Ttpal	5034	3577	21581	3202	4304	3682
Ttr	0	0	0	0	0	0
Ttyh1	6	3	8	4	4	2
Ttyh2	29	14	85	23	26	17
Ttyh3	5948	4048	27593	3571	5981	4904
Tub	28	14	122	17	30	30
Tuba1a	2274	1463	8840	1328	2237	1854
Tuba1b	25401	17989	98696	15527	19642	17006
